Date,Category,Amount,Type,Month,Weekday
2024-02-05,Bills,3574,Expense,February,Monday
2024-02-05,Bills,1807,Expense,February,Monday
2024-02-06,Shopping,3610,Expense,February,Tuesday
2024-02-06,Rent,4596,Expense,February,Tuesday
2024-02-07,Salary,43509,Income,February,Wednesday
2024-02-07,Rent,3682,Expense,February,Wednesday
2024-02-08,Food,1247,Expense,February,Thursday
2024-02-09,Bills,1894,Expense,February,Friday
2024-02-09,Rent,1469,Expense,February,Friday
2024-02-10,Shopping,3011,Expense,February,Saturday
2024-02-11,Food,2059,Expense,February,Sunday
2024-02-12,Food,1902,Expense,February,Monday
2024-02-12,Food,4161,Expense,February,Monday
2024-02-13,Shopping,723,Expense,February,Tuesday
2024-02-14,Salary,34589,Income,February,Wednesday
2024-02-14,Salary,48666,Income,February,Wednesday
2024-02-15,Food,3270,Expense,February,Thursday
2024-02-16,Rent,4599,Expense,February,Friday
2024-02-16,Food,4091,Expense,February,Friday
2024-02-17,Shopping,1545,Expense,February,Saturday
2024-02-18,Rent,3283,Expense,February,Sunday
2024-02-18,Rent,2300,Expense,February,Sunday
2024-02-19,Entertainment,4533,Expense,February,Monday
2024-02-19,Salary,48643,Income,February,Monday
2024-02-20,Shopping,4593,Expense,February,Tuesday
2024-02-21,Rent,4596,Expense,February,Wednesday
2024-02-21,Shopping,1054,Expense,February,Wednesday
2024-02-22,Salary,23436,Income,February,Thursday
2024-02-23,Entertainment,3454,Expense,February,Friday
2024-02-24,Entertainment,1059,Expense,February,Saturday
2024-02-25,Bills,915,Expense,February,Sunday
2024-02-25,Rent,3220,Expense,February,Sunday
2024-02-26,Salary,23444,Income,February,Monday
2024-02-26,Salary,20301,Income,February,Monday
2024-02-27,Rent,799,Expense,February,Tuesday
2024-02-28,Bills,1080,Expense,February,Wednesday
2024-02-29,Rent,227,Expense,February,Thursday
2024-03-01,Salary,39117,Income,March,Friday
2024-03-01,Salary,23009,Income,March,Friday
2024-03-02,Rent,2637,Expense,March,Saturday
2024-03-03,Food,4441,Expense,March,Sunday
2024-03-04,Travel,2906,Expense,March,Monday
2024-03-05,Salary,42009,Income,March,Tuesday
2024-03-05,Food,4231,Expense,March,Tuesday
2024-03-06,Entertainment,4595,Expense,March,Wednesday
2024-03-07,Shopping,2874,Expense,March,Thursday
2024-03-08,Food,3869,Expense,March,Friday
2024-03-09,Entertainment,1815,Expense,March,Saturday
2024-03-10,Entertainment,2591,Expense,March,Sunday
2024-03-11,Salary,41606,Income,March,Monday
2024-03-11,Shopping,4969,Expense,March,Monday
2024-03-12,Entertainment,4242,Expense,March,Tuesday
2024-03-12,Salary,33417,Income,March,Tuesday
2024-03-13,Rent,4852,Expense,March,Wednesday
2024-03-13,Rent,3775,Expense,March,Wednesday
2024-03-14,Bills,216,Expense,March,Thursday
2024-03-14,Food,2031,Expense,March,Thursday
2024-03-15,Travel,612,Expense,March,Friday
2024-03-15,Entertainment,659,Expense,March,Friday
2024-03-16,Bills,3443,Expense,March,Saturday
2024-03-17,Bills,2394,Expense,March,Sunday
2024-03-17,Travel,1779,Expense,March,Sunday
2024-03-18,Food,3456,Expense,March,Monday
2024-03-18,Bills,3218,Expense,March,Monday
2024-03-19,Entertainment,3159,Expense,March,Tuesday
2024-03-19,Travel,2579,Expense,March,Tuesday
2024-03-20,Food,1857,Expense,March,Wednesday
2024-03-20,Travel,2949,Expense,March,Wednesday
2024-03-21,Travel,3830,Expense,March,Thursday
2024-03-21,Food,1115,Expense,March,Thursday
2024-03-22,Travel,4692,Expense,March,Friday
2024-03-22,Rent,951,Expense,March,Friday
2024-03-23,Rent,2527,Expense,March,Saturday
2024-03-23,Bills,2838,Expense,March,Saturday
2024-03-24,Rent,4013,Expense,March,Sunday
2024-03-24,Bills,2544,Expense,March,Sunday
2024-03-25,Travel,2646,Expense,March,Monday
2024-03-25,Food,4285,Expense,March,Monday
2024-03-26,Travel,1725,Expense,March,Tuesday
2024-03-26,Rent,716,Expense,March,Tuesday
2024-03-27,Salary,27543,Income,March,Wednesday
2024-03-27,Shopping,828,Expense,March,Wednesday
2024-03-28,Shopping,3565,Expense,March,Thursday
2024-03-29,Rent,1222,Expense,March,Friday
2024-03-29,Travel,2243,Expense,March,Friday
2024-03-30,Bills,3951,Expense,March,Saturday
2024-03-30,Bills,2426,Expense,March,Saturday
2024-03-31,Entertainment,4052,Expense,March,Sunday
